epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,14.146,2.9229,2.7442,0.72864,0.24505,0.21594,0.11193,2.4763,1.3653,1.5694,0.00025569,0.00025569,0.00025569
1,2.5568,1.2468,1.4335,0.67814,0.30081,0.30904,0.15767,1.869,1.025,1.4047,0.0005089,0.0005089,0.0005089
2,2.0533,1.0752,1.3366,0.67088,0.34169,0.34641,0.17931,1.5936,0.91564,1.339,0.00074974,0.00074974,0.00074974
3,1.8338,0.98116,1.2842,0.61586,0.41038,0.40793,0.22074,1.5134,0.84655,1.3108,0.00072751,0.00072751,0.00072751
4,1.703,0.91697,1.2567,0.68146,0.45015,0.45211,0.24299,1.4436,0.78027,1.2821,0.00072751,0.00072751,0.00072751
5,1.6233,0.86931,1.241,0.75302,0.47046,0.48563,0.27248,1.3374,0.74988,1.2555,0.0006963,0.0006963,0.0006963
6,1.5804,0.83441,1.2242,0.5326,0.48597,0.50653,0.28853,1.3187,0.71607,1.2421,0.00065751,0.00065751,0.00065751
7,1.5278,0.80397,1.2115,0.70789,0.49239,0.53096,0.3107,1.3251,0.69135,1.2476,0.00061209,0.00061209,0.00061209
8,1.4893,0.77596,1.1982,0.58944,0.58483,0.53939,0.31394,1.2898,0.66673,1.2304,0.00056116,0.00056116,0.00056116
9,1.4768,0.75478,1.1929,0.54775,0.57296,0.55699,0.32643,1.3028,0.66113,1.23,0.00050597,0.00050597,0.00050597
10,1.3641,0.70054,1.2526,0.63708,0.50869,0.52426,0.31354,1.3225,0.66005,1.2214,0.00044789,0.00044789,0.00044789
11,1.3211,0.6712,1.2394,0.57256,0.55785,0.5559,0.33318,1.3299,0.63828,1.2268,0.00038835,0.00038835,0.00038835
12,1.2822,0.64588,1.2274,0.54033,0.55276,0.56219,0.33938,1.3166,0.61731,1.2224,0.0003288,0.0003288,0.0003288
13,1.2459,0.62112,1.216,0.62492,0.53921,0.57229,0.34708,1.3262,0.61301,1.2177,0.00027072,0.00027072,0.00027072
14,1.2166,0.59694,1.2042,0.60265,0.55551,0.58323,0.35716,1.3278,0.59787,1.2188,0.00021553,0.00021553,0.00021553
15,1.1878,0.57769,1.191,0.61394,0.60071,0.58941,0.36338,1.3237,0.59002,1.2155,0.0001646,0.0001646,0.0001646
16,1.1559,0.55847,1.1794,0.63695,0.58665,0.5914,0.36561,1.3445,0.58691,1.2168,0.00011918,0.00011918,0.00011918
17,1.1286,0.54153,1.1706,0.64482,0.576,0.59414,0.37061,1.3634,0.58065,1.2202,8.04E-05,8.04E-05,8.04E-05
18,1.1129,0.52793,1.1636,0.63364,0.59322,0.59411,0.3683,1.3845,0.57774,1.2235,4.92E-05,4.92E-05,4.92E-05
19,1.1069,0.52009,1.1569,0.64893,0.57617,0.59757,0.36924,1.4001,0.57737,1.2229,2.63E-05,2.63E-05,2.63E-05
