epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,13.649,2.8933,2.8232,0.8504,0.20573,0.24335,0.12234,2.6771,1.3396,1.6393,0.00025569,0.00025569,0.00025569
1,2.6025,1.2522,1.4442,0.69057,0.29196,0.32209,0.16161,1.9272,1.005,1.4235,0.0005089,0.0005089,0.0005089
2,2.0668,1.0751,1.3352,0.55946,0.39886,0.3764,0.19462,1.5983,0.98987,1.3408,0.00074974,0.00074974,0.00074974
3,1.8343,0.97766,1.284,0.81525,0.36046,0.41441,0.22673,1.436,0.81959,1.2946,0.00072751,0.00072751,0.00072751
4,1.7085,0.91647,1.2556,0.67652,0.4392,0.4333,0.23451,1.4576,0.8054,1.2844,0.00072751,0.00072751,0.00072751
5,1.6258,0.8698,1.2406,0.67085,0.4466,0.45875,0.26032,1.3685,0.75068,1.2625,0.0006963,0.0006963,0.0006963
6,1.5812,0.83472,1.223,0.63191,0.46643,0.49815,0.2893,1.3236,0.70085,1.2441,0.00065751,0.00065751,0.00065751
7,1.5299,0.80367,1.2113,0.74804,0.50171,0.52697,0.30562,1.3261,0.70629,1.2415,0.00061209,0.00061209,0.00061209
8,1.4899,0.77489,1.1972,0.66351,0.50184,0.5172,0.30223,1.3106,0.6782,1.2293,0.00056116,0.00056116,0.00056116
9,1.4794,0.7557,1.1919,0.54736,0.55209,0.56328,0.33164,1.2947,0.6579,1.2295,0.00050597,0.00050597,0.00050597
10,1.3694,0.70187,1.254,0.46608,0.53987,0.50458,0.30158,1.3328,0.67823,1.2262,0.00044789,0.00044789,0.00044789
11,1.3238,0.67384,1.2397,0.56375,0.55787,0.55752,0.33269,1.3192,0.63498,1.2258,0.00038835,0.00038835,0.00038835
12,1.2869,0.64883,1.2267,0.56635,0.53523,0.56848,0.33885,1.3132,0.6197,1.2219,0.0003288,0.0003288,0.0003288
13,1.2551,0.62276,1.2167,0.67083,0.52879,0.58023,0.34799,1.326,0.61445,1.2175,0.00027072,0.00027072,0.00027072
14,1.2185,0.59803,1.2045,0.63606,0.57406,0.59573,0.36133,1.3144,0.59854,1.2172,0.00021553,0.00021553,0.00021553
15,1.1876,0.57716,1.1905,0.63639,0.60399,0.59735,0.36207,1.3203,0.59275,1.2147,0.0001646,0.0001646,0.0001646
16,1.1557,0.55815,1.1794,0.60104,0.61501,0.60207,0.37202,1.3301,0.58865,1.2175,0.00011918,0.00011918,0.00011918
17,1.1318,0.54258,1.1712,0.60337,0.60058,0.60216,0.36979,1.3556,0.58215,1.2196,8.04E-05,8.04E-05,8.04E-05
18,1.1138,0.52832,1.1629,0.64125,0.57744,0.60005,0.36994,1.3736,0.57794,1.2235,4.92E-05,4.92E-05,4.92E-05
19,1.1062,0.51861,1.1566,0.66165,0.58037,0.60174,0.36993,1.3938,0.57652,1.2245,2.63E-05,2.63E-05,2.63E-05
