epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,13.783,2.871,2.6789,0.62415,0.24727,0.2448,0.12846,2.4434,1.2267,1.5369,0.00025578,0.00025578,0.00025578
1,2.4723,1.2396,1.4163,0.69256,0.28934,0.31677,0.16145,1.9055,1.1362,1.3856,0.00050899,0.00050899,0.00050899
2,2.0468,1.0703,1.327,0.56511,0.38998,0.38114,0.20395,1.5473,0.92522,1.3168,0.00074983,0.00074983,0.00074983
3,1.8559,0.97783,1.2792,0.62554,0.40602,0.42362,0.22178,1.5185,0.87247,1.3015,0.00072751,0.00072751,0.00072751
4,1.7291,0.91686,1.2539,0.78576,0.43261,0.46143,0.25255,1.404,0.77581,1.2666,0.00072751,0.00072751,0.00072751
5,1.6469,0.86953,1.2345,0.71585,0.47633,0.49985,0.28265,1.3303,0.72771,1.2515,0.0006963,0.0006963,0.0006963
6,1.5857,0.82575,1.2147,0.59534,0.51309,0.52288,0.29784,1.3687,0.69779,1.2473,0.00065751,0.00065751,0.00065751
7,1.5602,0.80261,1.2074,0.60867,0.5092,0.52893,0.30178,1.3461,0.6921,1.2357,0.00061209,0.00061209,0.00061209
8,1.5425,0.78023,1.1986,0.66314,0.52201,0.55408,0.32529,1.3337,0.68044,1.2296,0.00056116,0.00056116,0.00056116
9,1.5115,0.7564,1.1894,0.67395,0.52704,0.55911,0.32988,1.3337,0.65265,1.2243,0.00050597,0.00050597,0.00050597
10,1.4065,0.70733,1.2517,0.53714,0.54152,0.54614,0.32966,1.344,0.65953,1.2182,0.00044789,0.00044789,0.00044789
11,1.3645,0.67566,1.2348,0.48639,0.56001,0.55676,0.34211,1.3277,0.63659,1.2144,0.00038835,0.00038835,0.00038835
12,1.3316,0.65032,1.2274,0.60017,0.52754,0.5615,0.3469,1.3409,0.62699,1.2116,0.0003288,0.0003288,0.0003288
13,1.2942,0.62422,1.2124,0.61051,0.56054,0.57265,0.35813,1.3474,0.60765,1.2116,0.00027072,0.00027072,0.00027072
14,1.2574,0.60005,1.201,0.63209,0.57247,0.57892,0.35913,1.3523,0.60042,1.2091,0.00021553,0.00021553,0.00021553
15,1.2384,0.5817,1.1892,0.61937,0.56333,0.58582,0.36415,1.3634,0.58831,1.2105,0.0001646,0.0001646,0.0001646
16,1.2043,0.56153,1.1797,0.65798,0.56319,0.58567,0.36637,1.3787,0.58429,1.2107,0.00011918,0.00011918,0.00011918
17,1.1795,0.54729,1.1704,0.65071,0.58061,0.59057,0.36782,1.4032,0.58251,1.2128,8.04E-05,8.04E-05,8.04E-05
18,1.1609,0.53324,1.1635,0.6965,0.55998,0.59169,0.36919,1.4193,0.57746,1.2165,4.92E-05,4.92E-05,4.92E-05
19,1.1488,0.52512,1.1561,0.69021,0.56335,0.58996,0.3711,1.4387,0.57695,1.2174,2.63E-05,2.63E-05,2.63E-05
