                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 9.4191,                 2.2495,                 2.1865,                 0.5111,                0.28359,                0.27458,                 0.1444,                 1.9807,                 1.0799,                 1.4263,             0.00025619,             0.00025619,             0.00025619
                      1,                 2.4146,                 1.1376,                 1.3737,                0.60011,                0.33986,                0.33978,                0.18162,                 1.7195,                0.93001,                 1.3248,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2134,                 1.0217,                 1.3087,                 0.5745,                0.37103,                0.37769,                0.20614,                 1.7443,                0.83801,                 1.2946,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1339,                0.94569,                  1.274,                 0.7719,                0.34817,                 0.4345,                0.24469,                 1.6396,                0.77075,                 1.2641,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.0975,                0.90313,                 1.2554,                0.77727,                0.41232,                0.46502,                0.26423,                 1.6612,                 0.7389,                 1.2577,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0649,                0.86423,                 1.2367,                0.77815,                0.45042,                0.49021,                0.27618,                 1.6625,                0.70132,                 1.2454,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.0343,                0.83413,                 1.2214,                0.73677,                0.47505,                0.49771,                0.28108,                 1.6482,                0.69348,                 1.2312,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0155,                0.80843,                 1.2152,                0.75175,                0.46063,                0.51363,                0.29241,                 1.6804,                0.66571,                 1.2346,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.9601,                0.78285,                 1.2022,                0.60434,                0.56538,                0.53932,                0.31418,                 1.6539,                0.65624,                  1.226,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9405,                0.76301,                 1.1977,                0.62251,                0.51773,                0.52677,                0.31121,                 1.6457,                0.63592,                 1.2193,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.7856,                0.71587,                 1.2525,                 0.5517,                 0.5579,                0.55107,                0.31995,                 1.6421,                 0.6375,                 1.2175,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7312,                0.69037,                 1.2405,                0.64115,                0.59754,                0.60497,                0.36211,                 1.6156,                0.62056,                 1.2116,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.6828,                0.66859,                  1.232,                0.54797,                0.64108,                0.60836,                0.35985,                 1.6076,                0.61313,                  1.211,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6341,                0.64696,                 1.2233,                0.67673,                 0.5884,                0.60895,                0.36094,                 1.6071,                0.59829,                 1.2131,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.5958,                0.63079,                 1.2167,                0.66361,                0.59922,                  0.609,                0.37062,                 1.5917,                0.58617,                 1.2098,             0.00027415,             0.00027415,             0.00027415
                     15,                  1.546,                0.61505,                 1.2067,                0.75927,                0.59754,                0.63318,                0.38182,                 1.6008,                 0.5822,                 1.2103,             0.00023608,             0.00023608,             0.00023608
                     16,                  1.509,                0.59534,                 1.1998,                0.64725,                0.63166,                0.61806,                 0.3754,                 1.6043,                0.57787,                 1.2112,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.4586,                 0.5793,                 1.1879,                0.68932,                0.62529,                0.62796,                0.38545,                 1.6056,                0.57221,                 1.2113,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.4182,                0.56276,                  1.181,                0.70957,                0.61595,                0.62223,                0.38075,                 1.6151,                0.56844,                 1.2133,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.3798,                0.54733,                 1.1722,                0.71118,                 0.5979,                0.62456,                0.38429,                 1.6142,                0.56861,                 1.2147,             8.3821e-05,             8.3821e-05,             8.3821e-05
