                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 9.9734,                  2.376,                 2.1868,                0.63867,                0.26979,                0.27461,                0.14521,                 2.0498,                 1.0718,                 1.4182,             0.00025619,             0.00025619,             0.00025619
                      1,                  2.472,                 1.1412,                 1.3635,                0.82711,                0.31735,                0.34826,                0.18763,                 1.7877,                0.94834,                 1.3212,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2491,                 1.0266,                    1.3,                0.71297,                0.37796,                0.37852,                0.21058,                 1.7339,                0.85664,                 1.2822,             0.00069274,             0.00069274,             0.00069274
                      3,                  2.168,                0.95379,                 1.2658,                0.87941,                0.35835,                0.42305,                0.24246,                 1.6766,                0.78009,                 1.2544,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.1262,                0.90718,                 1.2456,                0.82999,                0.39087,                0.44827,                0.25882,                 1.6869,                0.75174,                 1.2509,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.1071,                0.87109,                 1.2284,                0.76087,                0.46062,                0.45569,                0.26825,                 1.6733,                0.71838,                 1.2328,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.0726,                0.84064,                 1.2146,                0.75278,                0.44234,                0.47856,                 0.2838,                 1.6732,                0.70891,                 1.2237,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0534,                0.81548,                 1.2093,                0.64912,                0.50059,                 0.5033,                0.29689,                 1.6792,                0.67647,                 1.2178,             0.00054061,             0.00054061,             0.00054061
                      8,                 2.0095,                0.79106,                 1.1959,                 0.6716,                0.51539,                 0.5238,                0.31295,                 1.6711,                0.66231,                 1.2166,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9888,                0.77177,                 1.1917,                0.51836,                0.56006,                 0.5354,                0.32898,                 1.6579,                0.64903,                   1.21,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.8078,                0.72387,                 1.2437,                0.53741,                 0.5577,                0.54228,                0.32261,                 1.6572,                0.64817,                 1.2098,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7578,                0.70011,                 1.2344,                0.63789,                0.58378,                0.57536,                0.34753,                 1.6277,                 0.6292,                 1.2022,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.7195,                0.68056,                 1.2268,                0.68964,                0.53169,                0.55985,                0.33988,                 1.6307,                0.62183,                 1.2031,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6713,                0.65953,                 1.2178,                0.58778,                0.66123,                0.60361,                 0.3631,                 1.6192,                0.61387,                 1.2024,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.6358,                0.64255,                 1.2105,                0.71216,                0.56395,                0.58458,                0.35591,                 1.6043,                0.59635,                 1.1986,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.5897,                0.62764,                 1.2023,                0.66745,                0.58187,                0.59661,                0.36388,                 1.6182,                0.59106,                 1.1977,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.5527,                0.61118,                 1.1944,                0.67089,                0.61319,                 0.6045,                 0.3702,                 1.6103,                0.58623,                 1.1973,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.5093,                0.59864,                 1.1852,                0.67567,                0.62035,                0.60591,                0.36944,                 1.6127,                0.58543,                  1.199,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.4715,                0.58308,                 1.1801,                0.68926,                0.60265,                0.60776,                 0.3712,                 1.6138,                0.58148,                 1.2009,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.4444,                0.57012,                 1.1736,                0.62176,                0.64199,                 0.6041,                0.37207,                  1.624,                 0.5786,                  1.203,             8.3821e-05,             8.3821e-05,             8.3821e-05
