                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 21.078,                 4.3855,                  3.015,                 0.5326,                0.15331,                0.15005,                0.07853,                  3.705,                 1.9675,                 1.8214,             0.00025579,             0.00025579,             0.00025579
                      0,                 13.425,                  2.862,                 2.6881,                0.61675,                0.24038,                0.22996,                0.09499,                 3.0909,                 1.4023,                 1.6742,              0.0002557,              0.0002557,              0.0002557
                      1,                 3.2604,                 1.3831,                 1.5136,                0.80959,                0.18138,                0.18113,                0.09376,                 2.6272,                 2.2336,                  1.724,             0.00050901,             0.00050901,             0.00050901
                      1,                 2.5506,                 1.2422,                 1.4334,                0.68535,                0.30527,                0.33351,                0.17248,                 1.7845,                 1.0369,                 1.3855,             0.00050891,             0.00050891,             0.00050891
                      2,                 2.4603,                 1.1552,                 1.3888,                0.82651,                0.22428,                0.22771,                0.11427,                 2.1436,                 2.4848,                 1.5776,             0.00074984,             0.00074984,             0.00074984
                      2,                 2.0501,                 1.0694,                 1.3285,                0.72856,                0.32707,                0.37916,                0.19944,                 1.6504,                0.92162,                 1.3342,             0.00074975,             0.00074975,             0.00074975
                      3,                 2.1957,                  1.047,                 1.3357,                0.72907,                0.23161,                0.27578,                0.13854,                 2.0099,                  1.942,                 1.5841,             0.00072751,             0.00072751,             0.00072751
                      3,                 1.8182,                0.96933,                 1.2821,                0.70724,                0.41244,                0.42705,                0.23371,                 1.4725,                0.83905,                 1.2812,             0.00072751,             0.00072751,             0.00072751
                      4,                 2.0078,                0.97602,                 1.3014,                0.86068,                0.24192,                0.28124,                0.14952,                 1.8846,                  1.683,                 1.4737,             0.00072751,             0.00072751,             0.00072751
                      4,                 1.7064,                 0.9105,                 1.2565,                0.70075,                0.43686,                0.44803,                0.24778,                 1.4329,                0.81878,                  1.275,             0.00072751,             0.00072751,             0.00072751
                      5,                    nan,                    nan,                    nan,                0.71272,                0.32798,                0.31293,                0.16621,                    nan,                    nan,                    nan,              0.0006963,              0.0006963,              0.0006963
                      5,                 1.6492,                0.87298,                 1.2413,                0.66862,                0.47141,                0.48014,                0.26727,                 1.3841,                0.76212,                   1.26,              0.0006963,              0.0006963,              0.0006963
                      6,                    nan,                    nan,                    nan,                0.35413,                0.32708,                0.24364,                 0.1247,                    nan,                    nan,                    nan,             0.00065751,             0.00065751,             0.00065751
                      6,                 1.5937,                0.83632,                   1.22,                0.69638,                0.46594,                0.48597,                0.27819,                 1.3405,                0.72455,                 1.2422,             0.00065751,             0.00065751,             0.00065751
                      7,                    nan,                    nan,                    nan,                 0.7833,                0.32936,                0.33654,                0.17943,                    nan,                    nan,                    nan,             0.00061209,             0.00061209,             0.00061209
                      7,                 1.5412,                0.80214,                 1.2102,                 0.6357,                0.49811,                0.50676,                 0.2903,                  1.336,                0.68302,                 1.2379,             0.00061209,             0.00061209,             0.00061209
                      8,                    nan,                    nan,                    nan,                0.78623,                0.32696,                0.33717,                0.17992,                    nan,                    nan,                    nan,             0.00056116,             0.00056116,             0.00056116
                      8,                 1.5076,                0.77831,                 1.1993,                0.83898,                0.48729,                 0.5444,                0.31775,                 1.3089,                0.67232,                 1.2307,             0.00056116,             0.00056116,             0.00056116
                      9,                    nan,                    nan,                    nan,                0.78243,                0.33112,                0.33665,                0.18003,                    nan,                    nan,                    nan,             0.00050597,             0.00050597,             0.00050597
                      9,                 1.4762,                  0.756,                 1.1906,                0.68009,                0.51566,                0.54913,                0.31968,                 1.3185,                0.65295,                 1.2243,             0.00050597,             0.00050597,             0.00050597
                     10,                    nan,                    nan,                    nan,                0.67188,                0.32912,                0.30624,                 0.1623,                    nan,                    nan,                    nan,             0.00044789,             0.00044789,             0.00044789
                     10,                 1.3633,                0.69929,                 1.2517,                0.65766,                0.55019,                0.55547,                0.32889,                 1.3481,                0.64805,                 1.2273,             0.00044789,             0.00044789,             0.00044789
                     11,                    nan,                    nan,                    nan,                0.66482,                0.32724,                0.30432,                0.16176,                    nan,                    nan,                    nan,             0.00038835,             0.00038835,             0.00038835
                     11,                  1.327,                0.67113,                 1.2365,                0.61936,                0.56587,                0.56796,                0.34243,                  1.315,                0.64067,                  1.223,             0.00038835,             0.00038835,             0.00038835
                     12,                    nan,                    nan,                    nan,                 0.6672,                0.32908,                0.30582,                0.16231,                    nan,                    nan,                    nan,              0.0003288,              0.0003288,              0.0003288
                     12,                 1.2927,                0.64495,                 1.2262,                0.59448,                0.57964,                0.57788,                0.35203,                 1.3255,                0.62224,                 1.2205,              0.0003288,              0.0003288,              0.0003288
                     13,                    nan,                    nan,                    nan,                0.66762,                0.32953,                0.30619,                0.16232,                    nan,                    nan,                    nan,             0.00027072,             0.00027072,             0.00027072
                     13,                  1.263,                0.62302,                 1.2148,                0.59522,                0.60822,                0.58044,                0.35489,                 1.3256,                0.60317,                 1.2138,             0.00027072,             0.00027072,             0.00027072
                     14,                    nan,                    nan,                    nan,                0.66701,                0.32897,                0.30571,                0.16223,                    nan,                    nan,                    nan,             0.00021553,             0.00021553,             0.00021553
                     14,                  1.224,                0.59857,                 1.2034,                0.66181,                0.58639,                0.59227,                0.36361,                 1.3346,                0.60002,                 1.2145,             0.00021553,             0.00021553,             0.00021553
                     15,                    nan,                    nan,                    nan,                0.67982,                0.31958,                0.30316,                0.16186,                    nan,                    nan,                    nan,              0.0001646,              0.0001646,              0.0001646
                     16,                 1.1678,                0.56112,                 1.1823,                0.63344,                0.56661,                0.58804,                 0.3678,                 1.3527,                0.58712,                 1.2128,             0.00011918,             0.00011918,             0.00011918
                     16,                    nan,                    nan,                    nan,                0.65863,                0.32778,                0.30443,                0.16197,                    nan,                    nan,                    nan,             0.00011918,             0.00011918,             0.00011918
                     17,                 1.1508,                 0.5465,                 1.1709,                0.66157,                0.56543,                0.59325,                 0.3667,                 1.3721,                0.58346,                  1.218,             8.0389e-05,             8.0389e-05,             8.0389e-05
                     17,                    nan,                    nan,                    nan,                0.66845,                0.32875,                 0.3063,                 0.1623,                    nan,                    nan,                    nan,             8.0389e-05,             8.0389e-05,             8.0389e-05
                     18,                 1.1305,                0.53194,                 1.1672,                0.66464,                 0.5597,                0.59032,                0.36756,                 1.3916,                0.57909,                  1.219,             4.9179e-05,             4.9179e-05,             4.9179e-05
                     18,                    nan,                    nan,                    nan,                0.66817,                0.32968,                0.30562,                 0.1621,                    nan,                    nan,                    nan,             4.9179e-05,             4.9179e-05,             4.9179e-05
                     19,                 1.1212,                0.52255,                  1.159,                0.64785,                0.56873,                0.59187,                0.36915,                 1.4033,                0.58028,                 1.2202,             2.6321e-05,             2.6321e-05,             2.6321e-05
                     19,                    nan,                    nan,                    nan,                0.66472,                0.32836,                 0.3044,                0.16182,                    nan,                    nan,                    nan,             2.6321e-05,             2.6321e-05,             2.6321e-05
