                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 54.749,                 6.4694,                  3.834,                      0,                      0,                      0,                      0,                 40.547,                 4.5963,                  4.046,             0.00065608,             0.00065608,             0.00065608
                      1,                 22.127,                 4.0673,                 2.8304,                0.00201,                0.01604,                0.00068,                 0.0002,                 18.091,                 41.283,                 2.7526,              0.0012573,              0.0012573,              0.0012573
                      2,                 17.326,                 3.7944,                 2.4799,                0.00881,                0.09091,                0.00346,                0.00082,                 14.992,                 6.3694,                 2.6842,              0.0017925,              0.0017925,              0.0017925
                      3,                 15.486,                  3.459,                 2.2796,                0.00362,                0.23529,                0.00262,                0.00073,                 14.272,                 21.401,                 3.0793,               0.001703,               0.001703,               0.001703
                      4,                 13.889,                 3.3229,                 2.1741,                0.01506,                0.04813,                0.00679,                0.00149,                 13.891,                 3.6667,                 2.2729,               0.001703,               0.001703,               0.001703
                      5,                 13.228,                 3.1782,                 2.0043,                0.13526,                 0.1123,                0.04246,                 0.0125,                  11.13,                 3.7646,                 2.1773,               0.001604,               0.001604,               0.001604
                      6,                 11.771,                 3.0807,                 2.0133,                0.18338,                0.08021,                0.04394,                0.01276,                 10.851,                 3.3139,                 2.1262,               0.001505,               0.001505,               0.001505
                      7,                 11.489,                 3.0015,                 1.9568,                 0.1623,                0.08021,                 0.0536,                0.01742,                 11.037,                 3.1929,                 2.0687,               0.001406,               0.001406,               0.001406
                      8,                 10.862,                 2.9468,                 1.9218,                0.16319,                0.13904,                0.05381,                0.01491,                 9.5959,                 3.1236,                 2.1191,               0.001307,               0.001307,               0.001307
                      9,                  9.936,                 2.8668,                 1.8891,                0.25785,                0.09477,                0.08276,                0.02503,                 9.8184,                   3.14,                 2.0396,               0.001208,               0.001208,               0.001208
                     10,                 8.6358,                 2.8602,                 1.9978,                0.22361,                0.12834,                0.08756,                0.02701,                 12.073,                 3.1265,                 2.3666,               0.001109,               0.001109,               0.001109
                     11,                 7.8535,                  2.719,                  1.914,                0.27668,                0.17647,                0.15327,                0.05302,                 8.7353,                 2.7677,                 1.9565,                0.00101,                0.00101,                0.00101
                     12,                 7.8666,                 2.7319,                 1.8837,                0.39324,                0.19786,                0.16487,                0.05742,                 8.4872,                 2.9507,                 1.9214,               0.000911,               0.000911,               0.000911
                     13,                 7.1594,                  2.581,                 1.8819,                0.44559,                0.18717,                0.18913,                0.06475,                 7.7722,                  2.761,                 1.8883,               0.000812,               0.000812,               0.000812
                     14,                  7.487,                 2.5135,                 1.8789,                0.47381,                0.13904,                0.15949,                 0.0556,                 8.9702,                 2.6954,                 1.8984,               0.000713,               0.000713,               0.000713
                     15,                 7.1772,                 2.5335,                 1.8578,                0.30813,                0.17112,                0.14788,                0.04807,                 8.8646,                 2.6837,                 1.9526,               0.000614,               0.000614,               0.000614
                     16,                 6.7488,                 2.4572,                 1.8134,                0.40642,                0.21969,                0.22835,                0.07793,                 7.7243,                 2.6894,                 1.8814,               0.000515,               0.000515,               0.000515
                     17,                 6.6873,                 2.3862,                 1.8168,                0.41456,                 0.2246,                0.23597,                0.08245,                 7.2569,                 2.3882,                 1.8684,               0.000416,               0.000416,               0.000416
                     18,                 6.0979,                  2.293,                 1.7943,                0.47587,                0.22995,                0.25984,                0.08843,                 7.0898,                 2.3708,                 1.8485,               0.000317,               0.000317,               0.000317
                     19,                 5.9427,                  2.241,                  1.767,                0.63354,                0.19251,                0.24717,                0.08604,                  7.131,                 2.3077,                 1.8125,               0.000218,               0.000218,               0.000218
