                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 54.066,                 6.3754,                 3.7911,                      0,                      0,                      0,                      0,                 49.211,                 5.0238,                 4.0595,             0.00065608,             0.00065608,             0.00065608
                      1,                 22.506,                 4.0906,                 2.8401,                0.00618,                0.16757,                0.00346,                0.00091,                 16.056,                 7.3458,                 2.8888,              0.0012966,              0.0012966,              0.0012966
                      2,                 17.959,                 3.6801,                 2.5133,                0.00747,                 0.0973,                0.00323,                0.00086,                 27.642,                 4.8206,                 2.7158,              0.0019106,              0.0019106,              0.0019106
                      3,                  15.83,                 3.5202,                 2.3676,                0.00205,                0.47568,                0.00195,                0.00053,                 19.277,                  26.18,                 2.7822,              0.0018812,              0.0018812,              0.0018812
                      4,                 14.761,                 3.4847,                 2.3823,                0.01284,                0.03243,                0.00626,                0.00155,                 14.056,                 4.3218,                 2.3174,              0.0018812,              0.0018812,              0.0018812
                      5,                 13.838,                 3.2793,                 2.2389,                0.01163,                0.11351,                0.00555,                0.00163,                 13.992,                 3.9506,                 2.3334,              0.0018416,              0.0018416,              0.0018416
                      6,                 13.039,                 3.1692,                 2.1129,                0.17434,                 0.0973,                0.04852,                0.01283,                 11.939,                 3.3255,                 2.3126,               0.001802,               0.001802,               0.001802
                      7,                 12.589,                  3.124,                 2.1006,                0.22166,                0.10811,                0.07493,                0.02687,                 10.527,                 4.2333,                  2.186,              0.0017624,              0.0017624,              0.0017624
                      8,                 11.548,                 2.9822,                 2.0081,                0.09703,                0.05405,                0.03235,                 0.0107,                 12.767,                 3.4241,                 2.2056,              0.0017228,              0.0017228,              0.0017228
                      9,                 10.531,                  2.903,                 1.9902,                0.18838,                0.12432,                0.08745,                0.02656,                 10.889,                 3.1134,                 2.0935,              0.0016832,              0.0016832,              0.0016832
                     10,                 10.393,                  2.854,                  1.972,                0.42328,                0.04324,                0.05444,                0.01659,                 11.559,                 3.2789,                 2.1338,              0.0016436,              0.0016436,              0.0016436
                     11,                 9.6014,                 2.6961,                 1.9227,                0.23245,                0.18378,                0.12298,                0.03914,                 10.437,                 3.1103,                    2.1,               0.001604,               0.001604,               0.001604
                     12,                  9.186,                 2.6585,                 1.8979,                0.31871,                0.12973,                0.12681,                0.04352,                   9.56,                 2.7487,                 1.9515,              0.0015644,              0.0015644,              0.0015644
                     13,                 8.9192,                 2.5812,                 1.8609,                0.32302,                0.13514,                0.12013,                0.04195,                 9.3509,                   2.88,                 2.0042,              0.0015248,              0.0015248,              0.0015248
                     14,                 8.5434,                  2.561,                  1.827,                0.28342,                0.14595,                0.11872,                0.03869,                  9.169,                 2.8798,                 1.9672,              0.0014852,              0.0014852,              0.0014852
                     15,                 8.1704,                 2.5497,                  1.796,                  0.261,                0.15135,                0.11675,                0.04147,                 9.6407,                 3.0247,                 2.0682,              0.0014456,              0.0014456,              0.0014456
                     16,                 8.3911,                 2.5183,                 1.8029,                0.30865,                0.14595,                 0.1179,                0.03556,                 9.7341,                 2.8543,                 2.0869,               0.001406,               0.001406,               0.001406
                     17,                 7.9168,                 2.4358,                  1.782,                0.33334,                0.17297,                0.17242,                0.06508,                 9.0417,                 2.6332,                 1.8972,              0.0013664,              0.0013664,              0.0013664
                     18,                 7.5617,                  2.369,                 1.7595,                0.34473,                0.25946,                0.17912,                0.06407,                 8.1816,                 2.5555,                  1.891,              0.0013268,              0.0013268,              0.0013268
                     19,                 7.4927,                 2.3924,                 1.7297,                0.26809,                0.13068,                0.10974,                0.03138,                 10.113,                 2.8811,                 1.9597,              0.0012872,              0.0012872,              0.0012872
                     20,                 7.0688,                 2.3259,                 1.6821,                0.31828,                0.21081,                0.20258,                0.06263,                 8.4072,                 2.4752,                 1.8687,              0.0012476,              0.0012476,              0.0012476
                     21,                 6.5934,                 2.2227,                 1.6878,                0.27651,                0.25946,                0.22765,                0.06854,                 7.3796,                 2.4949,                 1.8887,               0.001208,               0.001208,               0.001208
                     22,                 6.6012,                 2.2565,                 1.6953,                0.42463,                0.15676,                 0.1676,                0.05229,                 8.8375,                 2.8365,                 1.8943,              0.0011684,              0.0011684,              0.0011684
                     23,                 6.5822,                 2.2499,                 1.6879,                0.49017,                0.21829,                0.24155,                0.08247,                 7.1388,                 2.4506,                 1.7968,              0.0011288,              0.0011288,              0.0011288
                     24,                 6.1589,                 2.1203,                 1.6584,                0.39777,                0.21622,                0.19569,                0.06407,                 8.0394,                 2.5524,                 1.9496,              0.0010892,              0.0010892,              0.0010892
                     25,                 6.0391,                 2.1361,                 1.6664,                0.29626,                0.26486,                0.22679,                0.08013,                 6.8745,                 2.3694,                 1.7746,              0.0010496,              0.0010496,              0.0010496
                     26,                 5.6662,                  2.067,                 1.6083,                0.40183,                 0.3014,                0.27712,                0.09833,                 6.9152,                 2.2611,                 1.8806,                0.00101,                0.00101,                0.00101
                     27,                 5.5204,                 2.0127,                 1.5919,                0.33747,                0.28635,                0.24948,                0.08597,                 7.7217,                 2.2769,                 1.8193,              0.0009704,              0.0009704,              0.0009704
                     28,                  5.612,                 2.0004,                 1.6155,                0.39342,                 0.2945,                0.27984,                0.09618,                  7.322,                 2.2093,                 1.7777,              0.0009308,              0.0009308,              0.0009308
                     29,                 5.4699,                 1.9634,                 1.5925,                0.37623,                0.26486,                0.23987,                 0.0817,                 7.3518,                 2.3047,                 1.7721,              0.0008912,              0.0008912,              0.0008912
                     30,                 5.2287,                 1.9413,                 1.5776,                0.44624,                0.31351,                0.31183,                0.11098,                 6.6587,                 2.1134,                 1.7777,              0.0008516,              0.0008516,              0.0008516
                     31,                 5.2107,                 1.8817,                 1.5764,                0.38029,                0.30811,                0.28703,                0.10517,                 6.4391,                 2.1471,                 1.8056,               0.000812,               0.000812,               0.000812
                     32,                 5.0224,                  1.854,                 1.5469,                0.48663,                0.28649,                 0.3145,                0.11401,                 6.6935,                 2.1254,                 1.8307,              0.0007724,              0.0007724,              0.0007724
