                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 72.506,                 9.7421,                 4.1384,                      0,                      0,                      0,                      0,                 48.071,                 7.4384,                 4.0745,             0.00065608,             0.00065608,             0.00065608
                      1,                 41.539,                 5.3503,                 3.5108,                      0,                      0,                      0,                      0,                 40.502,                 5.9314,                 3.7599,              0.0012966,              0.0012966,              0.0012966
                      2,                  20.74,                 4.2694,                 2.6606,                0.00014,                0.03243,                  7e-05,                  1e-05,                 115.47,                 5.9229,                 3.7392,              0.0019106,              0.0019106,              0.0019106
                      3,                  19.86,                 4.0652,                 2.4701,                0.00112,                0.25946,                0.00075,                 0.0002,                 21.394,                 4.0334,                 2.6716,              0.0018812,              0.0018812,              0.0018812
                      4,                 18.129,                 3.9048,                 2.3314,                0.00172,                    0.4,                 0.0015,                 0.0004,                 14.838,                 5.2017,                 2.3916,              0.0018812,              0.0018812,              0.0018812
                      5,                 16.557,                  3.703,                 2.2539,                0.01144,                0.01081,                0.00342,                  0.001,                  14.95,                  3.773,                 2.3692,              0.0018416,              0.0018416,              0.0018416
                      6,                 15.827,                 3.5801,                 2.1661,                 0.0024,                0.55676,                0.00511,                0.00119,                 13.123,                 3.6701,                 2.2419,               0.001802,               0.001802,               0.001802
                      7,                 15.508,                 3.5113,                 2.1561,                0.00258,                0.54595,                0.01058,                0.00242,                 14.461,                 3.5811,                 2.1935,              0.0017624,              0.0017624,              0.0017624
                      8,                 14.968,                 3.3733,                 2.1526,                 0.0027,                    0.4,                0.00364,                0.00089,                 17.802,                 4.0141,                 2.3981,              0.0017228,              0.0017228,              0.0017228
                      9,                 14.396,                 3.3693,                 2.1455,                0.00321,                0.54595,                0.00917,                0.00201,                 14.043,                 3.5772,                 2.0982,              0.0016832,              0.0016832,              0.0016832
                     10,                 13.877,                 3.2948,                 2.0686,                0.00257,                0.49189,                0.00673,                0.00138,                 16.086,                 3.7027,                 2.4174,              0.0016436,              0.0016436,              0.0016436
                     11,                 12.987,                 3.1807,                 2.0461,                0.09955,                0.15135,                0.03274,                0.00866,                 13.566,                 3.3211,                 2.0572,               0.001604,               0.001604,               0.001604
                     12,                 13.102,                 3.1116,                  2.036,                0.10431,                0.11351,                0.03189,                0.00791,                 14.805,                 3.3403,                 2.2157,              0.0015644,              0.0015644,              0.0015644
                     13,                 12.459,                 3.0699,                 2.0244,                 0.1193,                0.06486,                0.04982,                0.01451,                  13.74,                 3.3004,                 2.1148,              0.0015248,              0.0015248,              0.0015248
                     14,                 11.458,                 2.9424,                 1.9572,                0.23686,                0.11351,                0.06889,                0.01705,                 11.426,                 3.2145,                 2.0004,              0.0014852,              0.0014852,              0.0014852
                     15,                 11.431,                 2.9524,                 1.9272,                 0.1762,                0.13514,                0.06167,                0.01921,                 11.842,                  3.091,                 2.0605,              0.0014456,              0.0014456,              0.0014456
                     16,                 11.035,                 2.9086,                 1.9169,                0.22181,                0.13514,                0.08806,                0.02556,                  10.13,                 3.0894,                 2.0414,               0.001406,               0.001406,               0.001406
                     17,                 10.813,                 2.8388,                 1.8846,                0.14856,                0.14054,                0.06644,                0.02133,                 12.029,                 3.2514,                 2.0659,              0.0013664,              0.0013664,              0.0013664
                     18,                 10.867,                 2.8809,                 1.8994,                0.22724,                0.09189,                0.09021,                0.02309,                 10.761,                  3.065,                 1.9955,              0.0013268,              0.0013268,              0.0013268
