                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 56.178,                 6.5666,                 3.9164,                      0,                      0,                      0,                      0,                 50.109,                 5.1203,                  4.258,             0.00065608,             0.00065608,             0.00065608
                      1,                 21.725,                 4.1406,                 2.8618,                0.00198,                0.09091,                0.00066,                0.00016,                 20.454,                 191.49,                 3.2462,              0.0012573,              0.0012573,              0.0012573
                      2,                 16.817,                  3.665,                 2.4493,                0.00318,                0.14973,                0.00264,                0.00063,                 20.553,                 4.3181,                 2.5545,              0.0017925,              0.0017925,              0.0017925
                      3,                 15.334,                 3.4893,                  2.342,                0.00693,                0.01604,                0.00238,                0.00069,                  16.74,                 6.8366,                 2.6577,               0.001703,               0.001703,               0.001703
                      4,                 14.302,                 3.4074,                 2.2754,                0.05928,                0.01604,                0.00625,                0.00144,                 13.177,                 3.6484,                 2.4446,               0.001703,               0.001703,               0.001703
                      5,                 13.702,                 3.2401,                 2.1141,                0.10599,                0.08556,                0.03497,                0.01146,                 11.846,                 5.4619,                 2.3056,               0.001604,               0.001604,               0.001604
                      6,                  12.15,                  3.125,                 2.0598,                0.10401,                0.09626,                0.02811,                0.00873,                 15.056,                 3.4689,                 2.3402,               0.001505,               0.001505,               0.001505
                      7,                 12.174,                 3.0372,                 2.0232,                0.17082,                0.11765,                0.07254,                0.01768,                  11.57,                 3.1851,                 2.1796,               0.001406,               0.001406,               0.001406
                      8,                 11.256,                 2.9724,                 1.9804,                0.17846,                0.11765,                0.06369,                0.01768,                 10.077,                 3.4806,                 2.1307,               0.001307,               0.001307,               0.001307
                      9,                 10.404,                 2.8129,                 1.9255,                0.14198,                0.14439,                0.06311,                0.01991,                 10.249,                 3.1721,                 2.0446,               0.001208,               0.001208,               0.001208
                     10,                 8.7106,                 2.8737,                 1.9752,                 0.3944,                0.14973,                 0.1279,                0.04487,                 9.6381,                 2.8436,                  2.078,               0.001109,               0.001109,               0.001109
                     11,                 7.8345,                 2.7365,                 1.9332,                0.25529,                0.15508,                0.11815,                0.03971,                 9.2055,                 2.9266,                 2.0174,                0.00101,                0.00101,                0.00101
                     12,                 7.8057,                 2.7045,                 1.9318,                0.43932,                0.16043,                0.16955,                0.05759,                 8.3514,                 2.6833,                 1.9339,               0.000911,               0.000911,               0.000911
                     13,                 7.5221,                  2.575,                 1.8942,                0.32304,                0.19251,                0.16412,                0.05765,                 8.0646,                 2.8222,                 1.9421,               0.000812,               0.000812,               0.000812
                     14,                  7.377,                 2.4919,                 1.8787,                0.49971,                0.13904,                0.15367,                0.04821,                 8.9661,                 2.7175,                 1.9453,               0.000713,               0.000713,               0.000713
                     15,                 6.8814,                  2.455,                 1.8744,                0.51958,                0.19251,                0.20754,                 0.0643,                 8.1928,                 2.5673,                 1.9574,               0.000614,               0.000614,               0.000614
                     16,                 6.6949,                 2.4359,                 1.8617,                 0.4211,                0.20856,                0.21319,                0.07412,                 7.4063,                 2.5602,                 1.8889,               0.000515,               0.000515,               0.000515
                     17,                 6.5311,                 2.3756,                 1.8328,                0.36374,                0.19251,                0.19957,                0.06691,                 8.1039,                 2.4207,                 1.8678,               0.000416,               0.000416,               0.000416
                     18,                  6.277,                 2.3097,                 1.8051,                0.50171,                0.20856,                0.23649,                0.08936,                 7.3325,                 2.3474,                 1.8321,               0.000317,               0.000317,               0.000317
                     19,                 5.9568,                  2.246,                 1.7938,                0.47782,                0.24599,                 0.2525,                0.09617,                 6.9475,                 2.2877,                 1.8005,               0.000218,               0.000218,               0.000218
