                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 55.116,                 6.4674,                 3.8724,                      0,                      0,                      0,                      0,                  59.73,                 5.5787,                 4.2395,             0.00065608,             0.00065608,             0.00065608
                      1,                 21.098,                 4.0591,                 2.8086,                0.00742,                0.02703,                0.00244,                0.00061,                 19.159,                 6.0012,                  2.723,              0.0012966,              0.0012966,              0.0012966
                      2,                 17.372,                  3.732,                 2.4916,                0.00166,                0.38378,                0.00222,                0.00047,                 18.785,                 4.7808,                 2.4929,              0.0019106,              0.0019106,              0.0019106
                      3,                 16.141,                 3.5276,                 2.3611,                0.01133,                0.02162,                0.00359,                0.00098,                 14.726,                 9.2934,                  2.504,              0.0018812,              0.0018812,              0.0018812
                      4,                 14.756,                 3.4246,                 2.3573,                0.00247,                0.57297,                0.00834,                0.00221,                 14.444,                 4.0297,                 2.3107,              0.0018812,              0.0018812,              0.0018812
                      5,                 14.373,                 3.3075,                 2.1978,                0.01519,                 0.3027,                0.01483,                 0.0041,                 13.655,                 4.0536,                 2.2323,              0.0018416,              0.0018416,              0.0018416
                      6,                 13.275,                  3.203,                 2.1014,                 0.0842,                0.04865,                0.02957,                0.00689,                 13.279,                 3.4103,                 2.2765,               0.001802,               0.001802,               0.001802
                      7,                 12.837,                 3.1466,                 2.1128,                0.09518,                0.07027,                0.04543,                0.01311,                  13.46,                 3.2696,                 2.1541,              0.0017624,              0.0017624,              0.0017624
                      8,                 12.083,                 3.0317,                 2.0229,                0.14586,                0.05946,                0.03938,                0.01045,                 12.968,                 4.0834,                  2.251,              0.0017228,              0.0017228,              0.0017228
                      9,                 10.704,                 2.9224,                 1.9971,                 0.2012,                0.08649,                0.08475,                0.02805,                 10.737,                 3.2896,                 2.0983,              0.0016832,              0.0016832,              0.0016832
                     10,                  10.41,                 2.8587,                 1.9816,                0.47983,                0.05946,                0.08711,                0.02644,                 10.514,                 3.2282,                 2.0827,              0.0016436,              0.0016436,              0.0016436
                     11,                 9.3776,                 2.7073,                 1.9326,                0.30534,                0.13514,                 0.1311,                0.04301,                  9.306,                 2.9502,                 2.0109,               0.001604,               0.001604,               0.001604
                     12,                 9.4065,                 2.6791,                 1.9043,                0.28939,                0.15676,                0.11012,                0.03488,                 10.443,                 3.5101,                 2.1569,              0.0015644,              0.0015644,              0.0015644
                     13,                 9.0674,                 2.5913,                 1.9326,                0.35005,                 0.1027,                0.11145,                0.03637,                 9.8687,                 2.9222,                 2.0523,              0.0015248,              0.0015248,              0.0015248
                     14,                  8.387,                 2.5245,                 1.8647,                0.23692,                0.15135,                0.08927,                0.02492,                 10.071,                 2.8992,                 2.1162,              0.0014852,              0.0014852,              0.0014852
                     15,                 8.3849,                 2.5692,                 1.8429,                0.42571,                0.16216,                0.15396,                0.04757,                 8.7896,                 2.6178,                 2.0303,              0.0014456,              0.0014456,              0.0014456
                     16,                 8.2714,                 2.5091,                  1.834,                0.34667,                0.14595,                0.15017,                0.05073,                 8.3898,                 2.6464,                 2.0019,               0.001406,               0.001406,               0.001406
                     17,                 7.7969,                 2.4097,                 1.8042,                0.28375,                    0.2,                0.17295,                0.05842,                 8.0476,                 2.5129,                 1.9087,              0.0013664,              0.0013664,              0.0013664
                     18,                 7.5525,                 2.4045,                 1.8147,                0.32061,                0.20541,                0.16641,                0.05838,                 8.4666,                 2.6112,                 1.9553,              0.0013268,              0.0013268,              0.0013268
                     19,                   7.34,                 2.3108,                 1.7787,                0.39156,                0.20541,                0.18467,                0.06299,                 9.1759,                 2.5363,                 1.9704,              0.0012872,              0.0012872,              0.0012872
