                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 68.013,                 8.3971,                 4.0364,                      0,                      0,                      0,                      0,                 43.771,                 6.8115,                 3.9746,             0.00065608,             0.00065608,             0.00065608
                      1,                 24.646,                   4.28,                 3.0128,                0.00152,                0.35135,                0.00226,                0.00065,                 15.567,                 6.9417,                 2.7357,              0.0012966,              0.0012966,              0.0012966
                      2,                 17.174,                 3.7674,                 2.4849,                0.00221,                0.51351,                0.00513,                0.00125,                 15.224,                 4.7386,                 2.5584,              0.0019106,              0.0019106,              0.0019106
                      3,                 15.976,                 3.5504,                  2.325,                0.00882,                0.32432,                0.00947,                0.00267,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      4,                    nan,                  3.498,                 2.2866,                0.00256,                0.59459,                 0.0091,                0.00216,                    nan,                 3.5726,                 2.2855,              0.0018812,              0.0018812,              0.0018812
                      5,                    nan,                 3.4571,                 2.2359,                 0.0025,                0.57838,                0.00874,                0.00211,                    nan,                 3.5504,                  2.275,              0.0018416,              0.0018416,              0.0018416
                      6,                    nan,                 3.4974,                 2.2278,                 0.0025,                0.57838,                0.00879,                0.00213,                    nan,                 3.5467,                 2.2737,               0.001802,               0.001802,               0.001802
                      7,                    nan,                 3.5197,                 2.2807,                0.00252,                0.58378,                 0.0088,                 0.0021,                    nan,                 3.5471,                 2.2758,              0.0017624,              0.0017624,              0.0017624
                      8,                    nan,                 3.5015,                 2.2537,                0.00252,                0.58378,                0.00894,                0.00214,                    nan,                  3.552,                 2.2744,              0.0017228,              0.0017228,              0.0017228
                      9,                    nan,                 3.5106,                 2.2702,                0.00252,                0.58378,                0.00868,                 0.0021,                    nan,                 3.5489,                 2.2732,              0.0016832,              0.0016832,              0.0016832
                     10,                    nan,                 3.4718,                 2.2475,                0.00252,                0.58378,                0.00884,                0.00211,                    nan,                 3.5507,                 2.2718,              0.0016436,              0.0016436,              0.0016436
                     11,                    nan,                 3.4728,                 2.2589,                0.00252,                0.58378,                  0.009,                0.00216,                    nan,                 3.5572,                 2.2734,               0.001604,               0.001604,               0.001604
                     12,                    nan,                  3.484,                 2.2738,                 0.0025,                0.57838,                0.00873,                0.00211,                    nan,                  3.552,                 2.2757,              0.0015644,              0.0015644,              0.0015644
                     13,                    nan,                 3.4926,                 2.2798,                0.00252,                0.58378,                0.00899,                0.00215,                    nan,                 3.5483,                 2.2735,              0.0015248,              0.0015248,              0.0015248
                     14,                    nan,                 3.4866,                 2.2527,                0.00254,                0.58919,                0.00903,                0.00215,                    nan,                 3.5494,                 2.2729,              0.0014852,              0.0014852,              0.0014852
                     15,                    nan,                 3.4852,                 2.2388,                0.00252,                0.58378,                0.00887,                0.00214,                    nan,                 3.5499,                 2.2734,              0.0014456,              0.0014456,              0.0014456
                     16,                    nan,                 3.4959,                 2.2704,                0.00252,                0.58378,                0.00896,                0.00216,                    nan,                 3.5529,                 2.2754,               0.001406,               0.001406,               0.001406
                     17,                    nan,                 3.4797,                 2.2638,                 0.0025,                0.57838,                0.00866,                 0.0021,                    nan,                 3.5509,                 2.2757,              0.0013664,              0.0013664,              0.0013664
                     18,                    nan,                 3.4895,                 2.3048,                0.00254,                0.58919,                0.00894,                0.00214,                    nan,                 3.5484,                 2.2746,              0.0013268,              0.0013268,              0.0013268
                     19,                    nan,                 3.4756,                 2.2401,                0.00252,                0.58378,                0.00887,                 0.0021,                    nan,                 3.5502,                 2.2738,              0.0012872,              0.0012872,              0.0012872
                     20,                    nan,                  3.469,                 2.2421,                0.00254,                0.58919,                0.00895,                0.00215,                    nan,                 3.5479,                 2.2772,              0.0012476,              0.0012476,              0.0012476
                     21,                    nan,                  3.489,                 2.2543,                0.00252,                0.58378,                0.00892,                0.00211,                    nan,                 3.5488,                 2.2754,               0.001208,               0.001208,               0.001208
                     22,                    nan,                 3.5189,                 2.2976,                0.00252,                0.58378,                0.00882,                 0.0021,                    nan,                 3.5466,                 2.2754,              0.0011684,              0.0011684,              0.0011684
                     23,                    nan,                  3.484,                 2.2859,                0.00252,                0.58378,                 0.0088,                0.00208,                    nan,                 3.5501,                 2.2758,              0.0011288,              0.0011288,              0.0011288
                     24,                    nan,                 3.5021,                 2.2796,                0.00252,                0.58378,                0.00884,                0.00213,                    nan,                 3.5497,                 2.2721,              0.0010892,              0.0010892,              0.0010892
                     25,                    nan,                 3.5461,                 2.3002,                 0.0025,                0.57838,                0.00874,                0.00206,                    nan,                 3.5515,                 2.2734,              0.0010496,              0.0010496,              0.0010496
                     26,                    nan,                 3.5154,                 2.2357,                0.00252,                0.58378,                0.00882,                0.00212,                    nan,                 3.5528,                 2.2725,                0.00101,                0.00101,                0.00101
                     27,                    nan,                  3.487,                 2.2576,                0.00254,                0.58919,                0.00894,                0.00213,                    nan,                  3.549,                 2.2725,              0.0009704,              0.0009704,              0.0009704
                     28,                    nan,                 3.4783,                   2.26,                0.00252,                0.58378,                0.00903,                0.00216,                    nan,                 3.5514,                 2.2729,              0.0009308,              0.0009308,              0.0009308
                     29,                    nan,                 3.4857,                 2.2643,                0.00254,                0.58919,                0.00888,                0.00215,                    nan,                 3.5584,                 2.2706,              0.0008912,              0.0008912,              0.0008912
                     30,                    nan,                 3.5182,                 2.2525,                0.00254,                0.58919,                0.00902,                0.00217,                    nan,                 3.5566,                 2.2734,              0.0008516,              0.0008516,              0.0008516
                     31,                    nan,                 3.5264,                 2.2567,                0.00252,                0.58378,                0.00872,                0.00211,                    nan,                 3.5565,                  2.274,               0.000812,               0.000812,               0.000812
                     32,                    nan,                 3.4995,                 2.2581,                0.00249,                0.57838,                0.00875,                0.00212,                    nan,                 3.5545,                 2.2753,              0.0007724,              0.0007724,              0.0007724
