                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 54.024,                 6.4055,                 3.7485,                      0,                      0,                      0,                      0,                 55.976,                  5.295,                 4.1723,             0.00065608,             0.00065608,             0.00065608
                      1,                 20.684,                 3.9923,                 2.7596,                0.00969,                0.01081,                0.00186,                0.00048,                  14.97,                 11.594,                 2.6849,              0.0012966,              0.0012966,              0.0012966
                      2,                 16.448,                 3.6026,                 2.4618,                0.00906,                0.06486,                0.00415,                0.00098,                 17.536,                 23.943,                 2.6138,              0.0019106,              0.0019106,              0.0019106
                      3,                 15.662,                 3.4096,                 2.2897,                0.01674,                0.07027,                0.00549,                0.00133,                  15.63,                 4.9932,                 2.3697,              0.0018812,              0.0018812,              0.0018812
                      4,                 13.984,                 3.3612,                  2.256,                0.00251,                0.52432,                0.00655,                0.00149,                  17.36,                 3.8312,                 2.2682,              0.0018812,              0.0018812,              0.0018812
                      5,                 13.027,                 3.2131,                 2.1155,                0.13588,                0.14054,                0.05211,                 0.0137,                 11.408,                 3.9637,                 2.2698,              0.0018416,              0.0018416,              0.0018416
                      6,                 12.374,                 3.1447,                 2.0678,                0.13213,                0.07568,                0.03996,                 0.0141,                 11.248,                 3.2256,                 2.1239,               0.001802,               0.001802,               0.001802
                      7,                  11.79,                 3.0754,                 2.0715,                0.19587,                0.09189,                0.06082,                0.02247,                 11.023,                 3.4129,                 2.0789,              0.0017624,              0.0017624,              0.0017624
                      8,                 11.132,                  2.941,                 1.9913,                0.23149,                0.13514,                0.09846,                0.03243,                 10.409,                 3.5443,                 2.0762,              0.0017228,              0.0017228,              0.0017228
                      9,                 10.168,                 2.8853,                 1.9593,                0.29016,                0.05946,                0.04888,                0.01642,                 11.277,                 3.2587,                 2.0967,              0.0016832,              0.0016832,              0.0016832
                     10,                 10.039,                 2.8249,                 1.9389,                0.41741,                0.07027,                0.09197,                0.02953,                 10.379,                 3.0041,                 1.9874,              0.0016436,              0.0016436,              0.0016436
                     11,                 9.3211,                 2.6978,                  1.901,                 0.3209,                0.14054,                0.11817,                0.04163,                 9.2386,                 2.8502,                 2.0416,               0.001604,               0.001604,               0.001604
                     12,                 9.1953,                  2.658,                 1.8926,                0.33285,                0.08649,                0.09014,                0.03252,                 10.518,                 3.0701,                 2.0009,              0.0015644,              0.0015644,              0.0015644
                     13,                 8.6774,                 2.5674,                 1.8575,                0.35346,                0.18378,                0.15043,                0.04661,                 8.4943,                  2.767,                  1.915,              0.0015248,              0.0015248,              0.0015248
