                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 52.338,                 6.2159,                 4.1304,                      0,                      0,                      0,                      0,                 67.052,                 6.2136,                 4.3192,             0.00065608,             0.00065608,             0.00065608
                      1,                 20.791,                 4.0363,                 3.0039,                0.00344,                0.05405,                0.00098,                0.00024,                 30.311,                 265.63,                 3.2339,              0.0012966,              0.0012966,              0.0012966
                      2,                 16.901,                 3.7027,                 2.5347,                0.00061,                0.14054,                0.00035,                0.00011,                 17.601,                    inf,                 4.6968,              0.0019106,              0.0019106,              0.0019106
                      3,                 14.838,                   3.42,                 2.3039,                0.00119,                0.27568,                0.00088,                0.00026,                 17.488,                 5.8291,                 2.6663,              0.0018812,              0.0018812,              0.0018812
                      4,                 13.732,                 3.3794,                 2.2501,                0.02221,                0.04324,                0.00578,                0.00135,                 16.412,                 3.9457,                 2.4623,              0.0018812,              0.0018812,              0.0018812
                      5,                 13.251,                 3.2077,                 2.1053,                0.17278,                 0.0973,                0.04543,                0.00904,                 13.648,                 4.8237,                 2.1627,              0.0018416,              0.0018416,              0.0018416
                      6,                 12.315,                 3.0823,                 2.0402,                 0.2619,                0.05182,                0.05932,                0.02176,                 12.002,                 3.2211,                  2.193,               0.001802,               0.001802,               0.001802
                      7,                 11.481,                 3.0063,                 2.0256,                0.13816,                0.11351,                0.06167,                0.01702,                 11.729,                 4.0283,                 2.1886,              0.0017624,              0.0017624,              0.0017624
                      8,                 11.081,                 2.9188,                 1.9616,                0.10684,                0.07027,                0.03283,                0.01057,                 13.529,                  3.393,                 2.1105,              0.0017228,              0.0017228,              0.0017228
                      9,                  9.987,                 2.8229,                 1.9624,                0.22411,                0.08649,                 0.0858,                0.02451,                  11.66,                 2.9279,                 2.1106,              0.0016832,              0.0016832,              0.0016832
                     10,                 9.7039,                 2.7426,                 1.9404,                 0.2539,                0.14595,                0.11743,                0.03157,                  9.249,                 2.7546,                 2.0604,              0.0016436,              0.0016436,              0.0016436
                     11,                 9.1463,                 2.6391,                 1.8859,                0.29426,                0.18378,                0.15411,                0.04886,                 9.2256,                 2.8802,                 2.0031,               0.001604,               0.001604,               0.001604
                     12,                 8.9565,                 2.6033,                  1.874,                0.22376,                 0.1027,                0.08036,                0.02968,                 10.679,                 2.9549,                 1.9599,              0.0015644,              0.0015644,              0.0015644
                     13,                 8.4962,                 2.5039,                 1.8378,                0.38727,                0.16216,                0.14744,                0.05315,                 8.4892,                 2.7064,                 1.9391,              0.0015248,              0.0015248,              0.0015248
