                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 53.014,                 6.2697,                 3.8252,                      0,                      0,                      0,                      0,                 43.909,                 5.0706,                 3.9599,             0.00065608,             0.00065608,             0.00065608
                      1,                 21.425,                  4.019,                 2.8326,                0.01197,                0.01081,                0.00125,                 0.0004,                 29.934,                 6.1291,                 2.8367,              0.0012966,              0.0012966,              0.0012966
                      2,                 18.006,                 3.7939,                 2.5495,                0.00809,                0.11892,                0.00378,                0.00086,                 42.156,                 177.42,                 3.6501,              0.0019106,              0.0019106,              0.0019106
                      3,                 16.271,                 3.5841,                 2.3874,                0.00287,                0.02162,                0.00032,                 0.0001,                 27.271,                 10.111,                  2.872,              0.0018812,              0.0018812,              0.0018812
                      4,                 14.764,                 3.4449,                 2.3756,                0.00208,                0.43784,                 0.0047,                0.00125,                 22.328,                 3.7693,                 2.5242,              0.0018812,              0.0018812,              0.0018812
                      5,                 13.831,                 3.2447,                 2.2008,                0.01507,                0.03784,                0.00912,                0.00204,                 14.818,                 4.2526,                 2.3935,              0.0018416,              0.0018416,              0.0018416
                      6,                 12.986,                  3.174,                 2.0823,                0.21023,                0.04324,                0.03927,                0.00982,                 12.685,                 4.2926,                 2.3782,               0.001802,               0.001802,               0.001802
                      7,                 12.372,                 3.0922,                 2.0936,                0.19921,                0.08339,                0.06202,                0.01616,                 11.361,                 3.1427,                 2.2582,              0.0017624,              0.0017624,              0.0017624
                      8,                 11.349,                 2.9939,                 2.0037,                0.23175,                0.11892,                 0.0758,                0.02253,                 10.852,                 3.0593,                 2.1582,              0.0017228,              0.0017228,              0.0017228
                      9,                 10.409,                 2.8988,                 1.9842,                 0.1814,                0.14595,                0.08809,                0.02665,                 10.627,                 3.1311,                 2.0104,              0.0016832,              0.0016832,              0.0016832
                     10,                 10.351,                 2.8764,                 1.9677,                0.29253,                0.11351,                0.09071,                0.03107,                 10.231,                 3.1156,                 2.0545,              0.0016436,              0.0016436,              0.0016436
                     11,                 9.4279,                 2.7248,                 1.9132,                0.36903,                0.09189,                0.09343,                0.02609,                 11.215,                 3.0861,                 2.1578,               0.001604,               0.001604,               0.001604
                     12,                 9.4669,                 2.6856,                 1.9079,                0.33372,                0.12432,                0.11544,                0.04168,                 9.8185,                 2.8243,                   1.95,              0.0015644,              0.0015644,              0.0015644
                     13,                  9.142,                 2.6218,                  1.868,                 0.4179,                0.17297,                0.15528,                0.05868,                 8.4569,                 2.9105,                 1.9889,              0.0015248,              0.0015248,              0.0015248
                     14,                  8.466,                 2.5425,                 1.8407,                 0.3355,                0.17297,                0.16573,                0.05388,                 8.4646,                 2.5914,                 1.9561,              0.0014852,              0.0014852,              0.0014852
                     15,                 8.1586,                 2.5275,                 1.7888,                0.29284,                0.18919,                0.16049,                0.06039,                 8.4859,                   2.69,                 1.9502,              0.0014456,              0.0014456,              0.0014456
                     16,                 8.1803,                 2.5225,                 1.8164,                0.22454,                  0.144,                0.10103,                0.03307,                 10.422,                 2.8152,                 2.0714,               0.001406,               0.001406,               0.001406
                     17,                 7.8894,                 2.4442,                 1.7825,                0.40809,                0.23784,                0.19263,                0.06227,                  8.568,                 2.6048,                 1.9392,              0.0013664,              0.0013664,              0.0013664
                     18,                 7.7079,                 2.3988,                 1.7937,                0.27642,                0.18919,                0.17524,                0.06268,                 8.2158,                  2.513,                 1.9753,              0.0013268,              0.0013268,              0.0013268
                     19,                 7.3206,                 2.3383,                 1.7537,                0.33691,                0.19459,                0.17901,                0.06531,                 7.8572,                 2.5097,                 1.9054,              0.0012872,              0.0012872,              0.0012872
                     20,                 6.8933,                 2.3058,                 1.6925,                0.36636,                0.20541,                0.19878,                0.06453,                  8.586,                 2.5174,                 1.9225,              0.0012476,              0.0012476,              0.0012476
                     21,                 6.7166,                 2.2305,                 1.7392,                0.44349,                    0.2,                 0.2159,                0.06691,                 7.7624,                   2.46,                 1.9045,               0.001208,               0.001208,               0.001208
                     22,                 6.5455,                 2.2944,                  1.725,                0.39481,                0.23784,                0.23223,                0.07807,                  7.727,                 2.4144,                 1.8511,              0.0011684,              0.0011684,              0.0011684
                     23,                 6.4908,                 2.2458,                 1.7135,                0.37777,                0.20541,                0.21203,                0.06755,                 7.2393,                 2.3277,                 1.8729,              0.0011288,              0.0011288,              0.0011288
                     24,                  6.201,                 2.1644,                 1.6784,                0.45284,                0.16554,                0.19375,                0.05886,                 7.8898,                 2.7215,                 1.8442,              0.0010892,              0.0010892,              0.0010892
