                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 39.432,                 7.0055,                 3.9854,                      0,                      0,                      0,                      0,                 52.048,                 5.4727,                 4.2859,             0.00065608,             0.00065608,             0.00065608
                      1,                 18.104,                 4.3495,                 3.0153,                0.00325,                0.02674,                0.00075,                0.00017,                 20.177,                 16.622,                 3.0452,              0.0011918,              0.0011918,              0.0011918
                      2,                 15.315,                   3.87,                   2.57,                0.00199,                0.29947,                 0.0017,                0.00046,                 16.566,                 4.6274,                 2.5065,              0.0015955,              0.0015955,              0.0015955
                      3,                 14.345,                 3.6173,                 2.4183,                0.00119,                0.18717,                0.00098,                0.00027,                 19.515,                 4.7138,                  2.708,               0.001406,               0.001406,               0.001406
                      4,                 12.716,                 3.4794,                 2.3353,                0.02625,                0.06417,                0.00862,                0.00193,                 14.037,                 5.7598,                 2.2895,               0.001406,               0.001406,               0.001406
                      5,                 11.786,                 3.3457,                 2.2671,                0.02588,                0.15508,                0.01649,                0.00451,                 11.755,                 3.3558,                 2.2058,               0.001208,               0.001208,               0.001208
                      6,                 11.319,                 3.3049,                 2.2026,                0.04155,                0.11765,                0.02141,                0.00532,                 12.571,                 3.4032,                 2.2962,                0.00101,                0.00101,                0.00101
                      7,                 10.572,                 3.1927,                 2.2199,                0.15092,                0.05348,                 0.0495,                0.01434,                  11.69,                 3.6845,                 2.1376,               0.000812,               0.000812,               0.000812
                      8,                 10.268,                 3.1089,                 2.1356,                0.21246,                0.06952,                0.04196,                0.01566,                 11.122,                 3.2639,                 2.1708,               0.000614,               0.000614,               0.000614
                      9,                 9.9251,                 2.9843,                 2.0985,                0.40322,                0.05882,                0.07457,                0.02771,                 10.599,                 3.2225,                 2.1737,               0.000416,               0.000416,               0.000416
