                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 39.432,                 7.0055,                 3.9854,                      0,                      0,                      0,                      0,                 52.048,                 5.4727,                 4.2859,             0.00065608,             0.00065608,             0.00065608
                      1,                 18.104,                 4.3495,                 3.0153,                0.00325,                0.02674,                0.00075,                0.00017,                 20.177,                 16.622,                 3.0452,              0.0011918,              0.0011918,              0.0011918
                      2,                 15.315,                   3.87,                   2.57,                0.00199,                0.29947,                 0.0017,                0.00046,                 16.566,                 4.6274,                 2.5065,              0.0015955,              0.0015955,              0.0015955
                      3,                 14.345,                 3.6173,                 2.4183,                0.00119,                0.18717,                0.00098,                0.00027,                 19.515,                 4.7138,                  2.708,               0.001406,               0.001406,               0.001406
                      4,                 12.716,                 3.4794,                 2.3353,                0.02625,                0.06417,                0.00862,                0.00193,                 14.037,                 5.7598,                 2.2895,               0.001406,               0.001406,               0.001406
                      5,                 11.786,                 3.3457,                 2.2671,                0.02588,                0.15508,                0.01649,                0.00451,                 11.755,                 3.3558,                 2.2058,               0.001208,               0.001208,               0.001208
                      6,                 11.319,                 3.3049,                 2.2026,                0.04155,                0.11765,                0.02141,                0.00532,                 12.571,                 3.4032,                 2.2962,                0.00101,                0.00101,                0.00101
                      7,                 10.572,                 3.1927,                 2.2199,                0.15092,                0.05348,                 0.0495,                0.01434,                  11.69,                 3.6845,                 2.1376,               0.000812,               0.000812,               0.000812
                      8,                 10.268,                 3.1089,                 2.1356,                0.21246,                0.06952,                0.04196,                0.01566,                 11.122,                 3.2639,                 2.1708,               0.000614,               0.000614,               0.000614
                      9,                 9.9251,                 2.9843,                 2.0985,                0.40322,                0.05882,                0.07457,                0.02771,                 10.599,                 3.2225,                 2.1737,               0.000416,               0.000416,               0.000416
                      0,                 9.3689,                 2.2377,                 2.1509,                0.77084,                 0.2715,                0.29791,                0.15866,                 1.9159,                 1.1163,                 1.4102,             0.00025619,             0.00025619,             0.00025619
                      1,                 2.4219,                 1.1396,                 1.3641,                0.68728,                0.34105,                0.35793,                0.19883,                 1.7676,                0.92048,                 1.3344,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2412,                 1.0294,                 1.3062,                0.86209,                0.35738,                0.41849,                 0.2323,                 1.6899,                0.83369,                  1.298,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1423,                0.95581,                 1.2687,                0.70802,                0.42822,                0.45643,                0.25661,                 1.6554,                0.77272,                 1.2585,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.0972,                0.90025,                   1.25,                0.83385,                0.44787,                0.50858,                0.29774,                 1.6806,                0.74774,                 1.2602,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0758,                0.86867,                 1.2347,                0.77873,                0.46973,                0.50643,                0.28896,                 1.6766,                0.71318,                 1.2426,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.0361,                0.83681,                 1.2217,                0.71445,                0.51188,                0.54026,                 0.3137,                 1.6527,                0.67563,                 1.2341,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0008,                0.80643,                 1.2113,                0.76593,                0.50563,                0.53771,                0.31358,                 1.6516,                0.66263,                 1.2301,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.9667,                0.78497,                 1.1997,                0.54662,                0.53652,                 0.5468,                0.32279,                 1.6437,                0.64991,                  1.223,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9212,                0.76687,                 1.1922,                0.66746,                0.55999,                0.56315,                0.33286,                 1.6455,                0.62568,                 1.2207,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.7628,                0.71219,                 1.2459,                0.69407,                0.55435,                0.56745,                0.33853,                 1.6364,                0.63345,                 1.2165,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7183,                0.69052,                 1.2383,                 0.6791,                0.55604,                0.56455,                0.34263,                  1.621,                0.62124,                 1.2121,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.6617,                0.66673,                 1.2296,                0.70686,                0.55495,                0.57648,                0.34899,                 1.5981,                0.60443,                 1.2127,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6155,                  0.646,                 1.2205,                0.56066,                0.57345,                0.58548,                0.35688,                 1.6022,                0.59688,                 1.2141,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.5752,                0.63062,                 1.2131,                0.57537,                0.56215,                 0.5768,                0.35661,                 1.5949,                0.58711,                  1.211,             0.00027415,             0.00027415,             0.00027415
