                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 9.3237,                 2.2461,                  2.219,                0.64919,                0.25981,                 0.2807,                0.14727,                 2.0129,                 1.0663,                 1.4203,             0.00025619,             0.00025619,             0.00025619
                      1,                 2.4207,                 1.1317,                 1.3645,                0.80247,                0.27296,                0.35906,                0.19341,                 1.7429,                0.91548,                 1.3113,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2111,                 1.0172,                 1.2992,                 0.7267,                0.39742,                0.40023,                0.21575,                 1.6862,                0.84049,                 1.2819,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1239,                0.94063,                 1.2675,                0.89327,                0.35765,                0.44345,                0.24885,                 1.6455,                0.77123,                 1.2604,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.0859,                0.89633,                 1.2481,                 0.6895,                0.45938,                 0.4635,                0.26228,                 1.6577,                0.74009,                 1.2464,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0506,                0.85771,                 1.2303,                0.67286,                0.47401,                0.47448,                0.26903,                 1.6564,                 0.7053,                 1.2375,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.0247,                0.83146,                 1.2168,                0.62938,                0.47812,                0.53167,                0.30022,                 1.6738,                0.69015,                 1.2292,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0098,                 0.8049,                 1.2108,                0.70965,                0.52021,                0.53719,                0.30524,                 1.6671,                0.65882,                 1.2302,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.9615,                0.77903,                 1.1988,                0.57507,                0.56436,                0.55911,                0.32159,                 1.6477,                0.64879,                 1.2236,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9357,                0.76093,                 1.1942,                0.55789,                 0.5323,                0.53391,                 0.3198,                 1.6407,                0.63465,                 1.2177,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.7811,                0.71258,                 1.2484,                0.58754,                0.59234,                0.57649,                 0.3369,                 1.6405,                0.63157,                 1.2195,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7189,                0.68617,                  1.238,                 0.6201,                0.59286,                0.59544,                0.35851,                 1.6062,                0.61762,                 1.2089,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.6794,                0.66669,                 1.2295,                0.64999,                0.58408,                0.60062,                0.36283,                 1.6003,                0.61373,                 1.2067,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6266,                0.64512,                 1.2211,                0.64694,                0.60425,                0.61402,                0.36245,                 1.6038,                0.60065,                 1.2091,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.5895,                 0.6279,                 1.2125,                0.61436,                0.59444,                0.58816,                0.35518,                  1.592,                0.59131,                 1.2088,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.5453,                0.61244,                  1.204,                0.63932,                0.61909,                0.62223,                0.37393,                 1.5938,                0.58428,                 1.2083,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.5015,                0.59315,                 1.1961,                0.63475,                  0.639,                0.62053,                 0.3786,                 1.6047,                0.58077,                 1.2092,             0.00019802,             0.00019802,             0.00019802
                     17,                  1.457,                0.57997,                  1.186,                0.62027,                0.60536,                0.61049,                 0.3773,                 1.6033,                0.57308,                 1.2109,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.4123,                0.56145,                 1.1785,                0.64398,                0.59121,                0.61331,                0.37821,                 1.6122,                0.57246,                  1.212,             0.00012189,             0.00012189,             0.00012189
                     19,                  1.377,                0.54639,                 1.1705,                0.67651,                0.59483,                0.61887,                0.37924,                 1.6193,                0.57008,                 1.2155,             8.3821e-05,             8.3821e-05,             8.3821e-05
