                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 9.4403,                 2.2347,                 2.1671,                0.65887,                0.26842,                0.27275,                0.14551,                 2.0532,                 1.0606,                   1.42,             0.00025619,             0.00025619,             0.00025619
                      1,                 2.4211,                 1.1341,                 1.3665,                0.53871,                0.37548,                0.34298,                0.18552,                 1.6994,                0.91791,                 1.3237,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2234,                 1.0196,                 1.3039,                0.61987,                0.39006,                0.39857,                0.21165,                 1.7242,                0.82407,                 1.2899,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1372,                0.94387,                 1.2711,                0.83287,                0.36943,                0.42662,                 0.2367,                 1.6488,                0.77241,                 1.2655,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.0919,                 0.8993,                 1.2505,                0.78382,                 0.4139,                0.46209,                0.25849,                 1.6605,                0.73138,                 1.2517,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0645,                0.86009,                 1.2327,                 0.5916,                0.48261,                0.50234,                0.28366,                 1.6746,                0.70913,                 1.2478,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.0266,                0.82997,                 1.2187,                 0.6338,                0.49355,                0.51656,                0.29744,                 1.6562,                0.68889,                 1.2336,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0139,                0.80609,                 1.2128,                0.70851,                0.48702,                 0.5332,                0.31086,                 1.6637,                0.66025,                 1.2321,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.9664,                0.78095,                 1.2019,                0.71833,                0.52291,                0.55388,                0.32404,                 1.6463,                0.65198,                 1.2229,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9377,                 0.7618,                 1.1952,                0.52768,                0.57326,                0.54363,                0.32029,                 1.6366,                0.63088,                 1.2174,             0.00046448,             0.00046448,             0.00046448
                     10,                  1.779,                0.70801,                 1.2501,                0.62275,                0.55219,                0.56473,                0.32711,                 1.6407,                0.62499,                 1.2203,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7196,                0.68496,                 1.2391,                0.60151,                0.60768,                0.59399,                0.35514,                  1.613,                 0.6227,                  1.211,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.6693,                0.66161,                 1.2304,                0.63129,                0.59653,                0.58704,                0.34761,                 1.5916,                 0.6061,                 1.2091,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6206,                0.64283,                 1.2217,                0.59647,                0.58295,                0.59492,                0.35562,                 1.5816,                 0.5967,                 1.2078,             0.00031221,             0.00031221,             0.00031221
                     14,                  1.578,                0.62507,                 1.2134,                0.65119,                0.58131,                0.59841,                0.36031,                 1.5872,                0.58385,                   1.21,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.5354,                0.60993,                 1.2052,                0.66835,                0.58478,                0.60976,                0.36656,                 1.5864,                0.57995,                 1.2071,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.4959,                0.58999,                 1.1966,                 0.6368,                0.62763,                0.61308,                0.37121,                 1.5883,                0.57502,                  1.209,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.4446,                0.57473,                 1.1862,                0.68663,                0.60627,                0.61904,                0.37659,                 1.5926,                0.57215,                 1.2132,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.4053,                0.55619,                 1.1798,                 0.7074,                0.58995,                0.61642,                 0.3745,                 1.6026,                0.56541,                 1.2153,             0.00012189,             0.00012189,             0.00012189
                     19,                  1.368,                0.54361,                 1.1702,                0.70265,                0.59232,                0.61341,                0.37511,                 1.6047,                0.56498,                 1.2156,             8.3821e-05,             8.3821e-05,             8.3821e-05
