                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  9.402,                 2.2361,                 2.1764,                0.62204,                0.28649,                0.27867,                0.14553,                 1.9682,                 1.0974,                 1.4174,             0.00025619,             0.00025619,             0.00025619
                      1,                  2.431,                 1.1372,                 1.3676,                0.59244,                0.34893,                0.34443,                0.18129,                  1.724,                0.91403,                 1.3163,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2287,                 1.0255,                 1.3044,                0.58353,                0.37799,                0.37706,                0.20755,                 1.6693,                0.82686,                 1.2891,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1353,                0.94443,                 1.2691,                0.72816,                0.37803,                0.43929,                0.24544,                 1.6647,                0.77049,                 1.2602,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.1085,                0.90057,                 1.2512,                0.76111,                0.45276,                0.46942,                0.26187,                 1.6677,                0.73089,                 1.2525,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0694,                0.86131,                 1.2326,                0.63999,                0.46591,                0.46876,                0.26941,                 1.6514,                0.70335,                 1.2433,             0.00061674,             0.00061674,             0.00061674
                      6,                  2.036,                0.83421,                 1.2193,                0.69688,                0.51612,                0.50946,                0.29113,                 1.6664,                0.68552,                 1.2301,             0.00057867,             0.00057867,             0.00057867
                      0,                  9.402,                 2.2361,                 2.1764,                0.62204,                0.28649,                0.27867,                0.14553,                 1.9682,                 1.0974,                 1.4174,             0.00025619,             0.00025619,             0.00025619
                      1,                  2.431,                 1.1372,                 1.3676,                0.59244,                0.34893,                0.34443,                0.18129,                  1.724,                0.91403,                 1.3163,             0.00048715,             0.00048715,             0.00048715
                      2,                 2.2287,                 1.0255,                 1.3044,                0.58353,                0.37799,                0.37706,                0.20755,                 1.6693,                0.82686,                 1.2891,             0.00069274,             0.00069274,             0.00069274
                      3,                 2.1353,                0.94443,                 1.2691,                0.72816,                0.37803,                0.43929,                0.24544,                 1.6647,                0.77049,                 1.2602,              0.0006548,              0.0006548,              0.0006548
                      4,                 2.1085,                0.90057,                 1.2512,                0.76111,                0.45276,                0.46942,                0.26187,                 1.6677,                0.73089,                 1.2525,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.0694,                0.86131,                 1.2326,                0.63999,                0.46591,                0.46876,                0.26941,                 1.6514,                0.70335,                 1.2433,             0.00061674,             0.00061674,             0.00061674
                      6,                  2.036,                0.83421,                 1.2193,                0.69688,                0.51612,                0.50946,                0.29113,                 1.6664,                0.68552,                 1.2301,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.0243,                0.80818,                 1.2132,                0.71065,                0.52509,                 0.5198,                 0.2942,                 1.6813,                0.66387,                 1.2309,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.9813,                0.78401,                 1.2015,                0.64415,                0.50079,                0.50988,                0.30098,                 1.6497,                0.65951,                 1.2241,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.9451,                0.76491,                 1.1953,                0.60213,                0.56471,                0.53423,                0.30948,                 1.6599,                 0.6417,                 1.2187,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.7846,                0.71284,                  1.249,                0.56986,                0.57679,                0.57197,                0.33302,                  1.645,                0.63289,                 1.2182,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.7288,                0.68904,                 1.2398,                0.64901,                0.57661,                0.61768,                0.36325,                 1.6094,                0.61827,                 1.2082,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.6786,                0.66531,                 1.2315,                0.55422,                0.57798,                0.58367,                0.34523,                 1.5889,                0.61219,                 1.2091,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.6306,                0.64529,                 1.2225,                0.68642,                 0.6072,                0.61794,                0.36835,                 1.5971,                0.60247,                 1.2113,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.5864,                0.62696,                 1.2138,                0.59333,                0.60558,                0.59889,                0.35955,                 1.5848,                0.58711,                 1.2089,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.5465,                0.61138,                 1.2059,                0.67183,                0.57835,                 0.6201,                0.37054,                 1.5878,                0.58386,                 1.2081,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.5027,                0.59201,                 1.1972,                0.67593,                0.57119,                0.61566,                0.37344,                 1.5875,                0.57861,                 1.2075,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.4492,                0.57758,                 1.1866,                 0.6674,                0.59206,                0.62169,                0.38228,                 1.5901,                0.57328,                 1.2113,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.4093,                0.56086,                   1.18,                0.66229,                0.57448,                0.61071,                0.37773,                 1.6011,                0.56806,                 1.2121,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.3722,                 0.5464,                  1.171,                 0.6759,                0.57174,                 0.6124,                0.37744,                 1.6118,                0.56818,                 1.2151,             8.3821e-05,             8.3821e-05,             8.3821e-05
