                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 12.634,                 3.8753,                 2.8294,                0.63453,                0.13338,                0.12852,                0.06348,                 5.8816,                 1.6787,                 1.8351,             0.00025619,             0.00025619,             0.00025619
                      1,                 3.7327,                 1.4635,                 1.6364,                0.94661,                0.19242,                 0.1979,                0.10795,                 2.8529,                 1.2386,                 1.4828,             0.00046178,             0.00046178,             0.00046178
                      2,                 2.8565,                 1.2024,                 1.4806,                0.89323,                0.20258,                0.23583,                0.13328,                 2.4012,                 1.1015,                 1.4084,             0.00061662,             0.00061662,             0.00061662
                      3,                 2.5717,                 1.0616,                 1.4207,                0.74742,                0.27373,                0.26164,                0.14314,                 2.3692,                 1.0049,                 1.3965,             0.00054061,             0.00054061,             0.00054061
                      4,                 2.4364,                0.97936,                 1.3881,                0.51912,                0.32757,                0.29688,                0.15575,                 2.4293,                0.95385,                 1.3719,             0.00054061,             0.00054061,             0.00054061
                      5,                    nan,                    nan,                    nan,                0.51912,                0.32757,                0.29688,                0.15575,                    nan,                    nan,                    nan,             0.00046448,             0.00046448,             0.00046448
                      6,                    nan,                    nan,                    nan,                0.51912,                0.32757,                0.29688,                0.15575,                    nan,                    nan,                    nan,             0.00038835,             0.00038835,             0.00038835
                      7,                    nan,                    nan,                    nan,                0.51912,                0.32757,                0.29688,                0.15575,                    nan,                    nan,                    nan,             0.00031221,             0.00031221,             0.00031221
                      8,                    nan,                    nan,                    nan,                0.51912,                0.32757,                0.29688,                0.15575,                    nan,                    nan,                    nan,             0.00023608,             0.00023608,             0.00023608
                      9,                    nan,                    nan,                    nan,                0.51912,                0.32757,                0.29688,                0.15575,                    nan,                    nan,                    nan,             0.00015995,             0.00015995,             0.00015995
